frame_id, x, y
map, -13.9245071411, 1.91167187691
map, -15.765247345, 3.25058579445
map, -12.0698099136, 3.43485283852
map, -8.14794063568, 3.39545822144
map, -4.35484647751, 3.3874027729
map, -4.34109401703, 6.28165388107
map, -8.23143291473, 6.41772031784
map, -12.217590332, 6.45670747757
map, -15.8817024231, 6.40126895905
map, -15.7393741608, 9.29633617401
map, -12.3330202103, 9.44660949707
map, -8.31492519379, 9.43998527527
map, -4.42540359497, 9.43253993988
map, -4.57195663452, 12.2614583969
map, -8.26923179626, 12.3665943146
map, -12.2545719147, 12.2769575119
map, -15.6944990158, 12.3515720367
map, -10.2617635727, 6.38608169556
