frame_id, x, y
map, -17.1727924347, -12.9978313446
map, -18.4153404236, -14.7422266006
map, -18.4687328339, -11.3981971741
map, -18.3337631226, -7.34551095963
map, -18.3887882233, -3.74423408508
map, -21.5713672638, -3.70014309883
map, -21.4195022583, -7.36511802673
map, -21.3945732117, -11.2881593704
map, -21.3714866638, -14.9217948914
map, -24.3937568665, -14.8123683929
map, -24.4489898682, -11.178937912
map, -24.8274898529, -7.25814390182
map, -24.5928192139, -3.71934175491
map, -27.5821304321, -3.73833560944
map, -27.4306735992, -7.33899736404
map, -27.4059505463, -11.2298851013
map, -27.512046814, -14.7678689957
map, -21.4711208344, -9.35920333862
