frame_id, x, y
map, -0.966668307781, -8.77871322632
map, -2.3050327301, -10.6201877594
map, -2.48904061317, -6.95541477203
map, -2.38478207588, -3.12802624702
map, -2.21521735191, 0.53899204731
map, -5.39861106873, 0.711708605289
map, -5.37511348724, -2.98623967171
map, -5.3813085556, -7.07026481628
map, -5.29536437988, -10.4784011841
map, -8.41304397583, -10.5303697586
map, -8.40337657928, -6.99299478531
map, -8.46085548401, -3.00584673882
map, -8.41945266724, 0.596041858196
map, -11.4417228699, 0.705467522144
map, -11.3211841583, -3.08833694458
map, -11.3928899765, -6.97983407974
map, -11.6611337662, -10.2937488556
map, -5.42632484436, -5.04463672638
