map, -18.4376869202, -1.10764074326
map, -18.4607772827, 2.52599573135
map, -18.5176429749, 6.41667604446
map, -18.5092010498, 10.1469860077
map, -18.5556468964, 12.3977060318
map, -21.32097435, 12.5409221649
map, -21.465959549, 10.0638837814
map, -21.5071544647, 6.42983865738
map, -21.4814109802, 2.37817287445
map, -21.4908752441, -1.19135558605
map, -24.4801845551, -1.2103497982
map, -24.5024547577, 2.29466223717
map, -24.5290164948, 6.47495222092
map, -24.6165962219, 10.1403360367
map, -25.0813140869, 12.4527139664
map, -27.7489852905, 12.4036054611
map, -27.7340717316, 10.0562133789
map. -27.6784324646, 6.35846757889
map, -27.5886039734, 2.3393676281
map, -27.6942939758, -1.26293027401
map, -23.0174751282, 6.35592794418
